===== System Information =====
Time: 2025-10-23T19:35:07.914
App: ColorProDisplayManager
App Version: 1.1.0.1023
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1536 x 864 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[19:35:07.915]  [T:0x9553f] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[19:35:07.916]  [T:0x9553f] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[19:35:08.452]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[19:35:08.453]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[19:35:26.967]  [T:0x9553f] D: monitorSN:  "VKR183100011"
[19:35:26.968]  [T:0x9553f] D: monitorName:  "VP3256-4K"
[19:35:26.969]  [T:0x9553f] D: monitorSN:  "WPK214700016"
[19:35:26.969]  [T:0x9553f] I: Monitor count (from map): 2
[19:35:26.970]  [T:0x9553f] W: [ICCSync] Mismatch: connectedMonitorMap.size() = 2 vs displayer_vector_.size() = 3  -> Start() aborted.
[19:35:26.970]  [T:0x9553f] W: [ICCSync] Start failed → init aborted
[19:35:26.970]  [T:0x9553f] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[19:35:26.979]  [T:0x9553f] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[19:35:26.982]  [T:0x9553f] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "colorfilter_mode")
[19:35:26.982]  [T:0x9553f] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "advancedfilter_mode")
[19:35:26.982]  [T:0x9553f] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "advancedfilter_alpha")
[19:35:26.982]  [T:0x9553f] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "advancedfilter_beta")
[19:35:26.983]  [T:0x9553f] I: [ CQJsonHandler::getValue ] No such key in JSON object:  std::vector("CVD", "simulation_mode")
[19:35:26.983]  [T:0x9553f] I: is_color_filter_on_off_ =  false
[19:35:26.983]  [T:0x9553f] I: color_filter_mode_ =  0
[19:35:26.983]  [T:0x9553f] I: is_CVD_correction_on_off_ =  false
[19:35:26.984]  [T:0x9553f] I: correction_mode_ =  0
[19:35:26.984]  [T:0x9553f] I: correction_alpha_ =  50
[19:35:26.984]  [T:0x9553f] I: correction_beta_ =  50
